AENA
Image url: http://www.bolsamadrid.es/imagescomun/logosEmisoras/05046.gif
Image folder: AENA.gif
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
02/04/2019;161,6500;160,7000;372.269;59.969.075,65;161,6500;162,3000;159,4500;161,3003
03/04/2019;163,7500;161,6500;150.812;24.652.421,45;163,7500;164,0000;161,1500;163,4568
04/04/2019;162,1500;163,7500;671.663;109.887.120,25;162,1500;164,5500;162,1000;162,4527
05/04/2019;162,4000;162,1500;155.221;25.216.630,55;162,4000;163,1500;161,9500;162,4563
08/04/2019;159,0000;162,4000;659.464;105.909.708,50;159,0000;161,1000;158,2500;159,3445
09/04/2019;159,0000;159,0000;888.904;141.606.617,30;159,0000;160,3000;158,5500;159,0591
10/04/2019;162,3500;159,0000;1.671.098;269.923.941,55;162,3500;162,7000;160,9500;162,2493
11/04/2019;163,5000;162,3500;1.191.386;193.894.183,45;163,5000;163,7500;161,3500;162,8890
12/04/2019;163,4000;163,5000;199.845;32.650.754,90;163,4000;163,9500;162,2500;163,3804
15/04/2019;165,0000;163,4000;600.738;99.110.492,05;165,0000;165,8000;163,8000;164,9320
16/04/2019;164,0000;165,0000;170.039;27.916.582,17;164,0000;165,5000;163,6000;164,1343
17/04/2019;158,4000;157,1000;140.672;22.235.336,75;158,4000;158,9500;156,1500;158,0651
18/04/2019;158,9000;158,4000;659.724;105.269.057,75;158,9000;160,8000;158,4000;159,1436
23/04/2019;159,0000;158,9000;1.812.587;288.670.976,48;159,0000;159,5000;157,1000;158,7215
24/04/2019;160,2500;159,0000;1.739.137;277.314.684,30;160,2500;160,3000;158,6500;160,1022
25/04/2019;160,8000;160,2500;1.254.047;201.286.412,90;160,8000;161,3500;159,4000;160,7115
26/04/2019;162,7500;160,8000;206.255;33.441.464,65;162,7500;163,3500;160,6500;162,4015
29/04/2019;162,8000;162,7500;628.133;102.198.649,97;162,8000;163,1500;161,8000;162,7190
30/04/2019;165,3500;162,8000;226.068;37.316.756,10;165,3500;166,2000;162,5000;165,1709
02/05/2019;165,7500;165,3500;1.067.402;177.325.412,88;165,7500;167,5500;165,2500;165,8847
03/05/2019;165,2500;165,7500;317.858;52.775.008,52;165,2500;166,6500;165,2500;165,5125
06/05/2019;164,9000;165,2500;718.895;117.377.464,40;164,9000;164,9000;162,7500;164,2630
07/05/2019;164,4000;164,9000;214.618;35.340.112,15;164,4000;166,1000;163,6500;164,5262
08/05/2019;164,5500;164,4000;165.068;27.142.098,73;164,5500;165,1000;163,4000;164,4407
09/05/2019;165,1000;164,5500;259.567;42.751.261,50;165,1000;165,2000;162,9500;164,8332
10/05/2019;163,8500;165,1000;171.328;28.143.675,15;163,8500;165,2000;163,5500;164,0693
13/05/2019;163,7000;163,8500;302.389;49.636.852,10;163,7000;164,7500;162,7000;163,6291
14/05/2019;165,5500;163,7000;173.901;28.662.677,40;165,5500;165,5500;163,9000;165,2788
15/05/2019;167,0000;165,5500;396.170;65.767.264,78;167,0000;167,4500;165,0500;166,6926
16/05/2019;168,1000;167,0000;130.613;21.914.652,47;168,1000;168,1000;166,4000;167,7988
17/05/2019;166,7500;168,1000;139.763;23.106.611,10;166,7500;168,1000;165,4500;166,6144
20/05/2019;165,0000;166,7500;147.864;24.399.612,45;165,0000;166,5500;164,0500;164,9954
21/05/2019;167,7500;165,0000;113.372;18.988.675,60;167,7500;168,1000;164,9500;167,4900
22/05/2019;168,0000;167,7500;197.730;33.113.229,66;168,0000;168,4500;166,5000;167,7441
23/05/2019;165,7500;168,0000;318.190;53.032.198,05;165,7500;167,6000;165,5500;165,9741
24/05/2019;167,1000;165,7500;133.738;22.336.099,90;167,1000;167,5000;166,1000;167,0150
27/05/2019;167,2000;167,1000;47.181;7.903.088,95;167,2000;169,0000;167,0500;167,4920
28/05/2019;167,6000;167,2000;225.939;37.846.902,70;167,6000;168,4500;165,7500;167,5687
29/05/2019;165,1500;167,6000;150.063;24.830.619,55;165,1500;166,8500;164,9500;165,4680
30/05/2019;167,3000;165,1500;74.614;12.469.492,85;167,3000;167,5000;164,9500;167,1200
31/05/2019;164,9000;167,3000;146.264;24.156.594,40;164,9000;167,3000;164,2500;165,1754
03/06/2019;166,9500;164,9000;230.994;38.191.911,75;166,9500;166,9500;163,9500;166,2053
04/06/2019;166,5000;166,9500;184.066;30.672.592,10;166,5000;168,1000;165,8000;166,6391
05/06/2019;169,7500;166,5000;1.069.140;180.495.398,25;169,7500;169,7500;167,0000;169,2410
06/06/2019;170,6500;169,7500;218.826;37.291.836,65;170,6500;171,6500;169,4000;170,6007
07/06/2019;172,5000;170,6500;197.946;34.073.184,60;172,5000;173,0500;170,4000;172,3363
10/06/2019;172,7000;172,5000;60.694;10.485.341,05;172,7000;173,2500;172,3000;172,7575
11/06/2019;173,5000;172,7000;528.898;91.760.759,50;173,5000;173,9500;172,8000;173,4781
12/06/2019;174,9000;173,5000;307.238;53.292.182,60;174,9000;175,0000;172,6500;174,6296
13/06/2019;174,5000;174,9000;147.357;25.735.887,85;174,5000;176,0500;173,9000;174,6499
14/06/2019;173,2000;174,5000;159.816;27.719.423,40;173,2000;174,7500;173,1000;173,4459
17/06/2019;172,9500;173,2000;139.406;24.145.989,50;172,9500;174,3500;172,8500;173,1662
18/06/2019;177,6000;172,9500;297.550;52.314.536,10;177,6000;178,5500;172,7000;177,1890
19/06/2019;178,0500;177,6000;127.424;22.731.097,55;178,0500;179,9000;177,8500;178,3895
20/06/2019;176,5000;178,0500;239.421;42.301.459,35;176,5000;179,3000;176,0500;176,7072
21/06/2019;175,1000;176,5000;502.380;88.154.367,10;175,1000;178,1000;174,7500;175,2645
24/06/2019;177,3500;175,1000;187.741;33.203.306,45;177,3500;177,3500;175,6000;176,9269
25/06/2019;177,3000;177,3500;145.770;25.799.582,28;177,3000;177,5500;175,8500;177,0805
26/06/2019;172,6500;177,3000;312.290;54.074.377,88;172,6500;176,2000;171,2500;173,2418
