AMPER
I;m;a;g;e; ;u;r;l;:; ;h;t;t;p;:;/;/;w;w;w;.;b;o;l;s;a;m;a;d;r;i;d;.;e;s;/;i;m;a;g;e;s;c;o;m;u;n;/;l;o;g;o;s;E;m;i;s;o;r;a;s;/;0;9;2;6;0;.;g;i;f
I;m;a;g;e; ;f;o;l;d;e;r;:; ;A;M;P;E;R;.;g;i;f
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
02/04/2019;0,2575;0,2550;1.913.362;489.832,83;0,2575;0,2590;0,2520;0,2560
03/04/2019;0,2615;0,2575;2.694.783;702.135,23;0,2615;0,2640;0,2580;0,2606
04/04/2019;0,2565;0,2615;2.307.091;594.914,48;0,2565;0,2625;0,2540;0,2579
05/04/2019;0,2575;0,2565;1.668.937;430.682,12;0,2575;0,2615;0,2535;0,2581
08/04/2019;0,2530;0,2575;977.146;248.342,87;0,2530;0,2580;0,2515;0,2542
09/04/2019;0,2540;0,2530;2.340.944;601.172,50;0,2540;0,2605;0,2525;0,2568
10/04/2019;0,2655;0,2540;4.344.997;1.136.721,39;0,2655;0,2655;0,2560;0,2616
11/04/2019;0,2715;0,2655;4.739.407;1.274.305,35;0,2715;0,2740;0,2610;0,2689
12/04/2019;0,2690;0,2715;4.837.067;1.305.945,39;0,2690;0,2730;0,2660;0,2696
15/04/2019;0,2730;0,2690;2.958.533;810.411,54;0,2730;0,2780;0,2710;0,2739
16/04/2019;0,2700;0,2730;1.111.210;302.316,55;0,2700;0,2750;0,2700;0,2721
17/04/2019;0,2670;0,2700;2.301.270;614.824,60;0,2670;0,2700;0,2650;0,2672
18/04/2019;0,2630;0,2670;1.412.670;374.111,52;0,2630;0,2690;0,2615;0,2648
23/04/2019;0,2600;0,2630;1.747.073;454.596,60;0,2600;0,2640;0,2565;0,2602
24/04/2019;0,2600;0,2600;1.794.289;463.387,96;0,2600;0,2630;0,2555;0,2583
25/04/2019;0,2570;0,2600;1.277.075;329.851,60;0,2570;0,2600;0,2570;0,2583
26/04/2019;0,2580;0,2570;1.179.012;302.573,30;0,2580;0,2590;0,2530;0,2566
29/04/2019;0,2650;0,2580;1.306.583;342.338,15;0,2650;0,2660;0,2580;0,2620
30/04/2019;0,2665;0,2650;4.258.391;1.139.773,80;0,2665;0,2695;0,2630;0,2655
02/05/2019;0,2600;0,2665;1.839.441;480.030,68;0,2600;0,2665;0,2580;0,2610
03/05/2019;0,2660;0,2600;2.568.601;681.222,48;0,2660;0,2690;0,2600;0,2652
06/05/2019;0,2625;0,2660;1.161.307;302.031,17;0,2625;0,2630;0,2560;0,2601
07/05/2019;0,2650;0,2625;1.692.273;445.530,83;0,2650;0,2670;0,2570;0,2633
08/05/2019;0,2675;0,2650;2.085.540;548.186,32;0,2675;0,2675;0,2555;0,2629
09/05/2019;0,2640;0,2675;2.936.864;786.007,12;0,2640;0,2720;0,2590;0,2676
10/05/2019;0,2625;0,2640;902.342;236.480,53;0,2625;0,2650;0,2595;0,2621
13/05/2019;0,2545;0,2625;2.199.917;566.310,70;0,2545;0,2620;0,2525;0,2574
14/05/2019;0,2475;0,2545;3.146.746;791.493,80;0,2475;0,2575;0,2450;0,2515
15/05/2019;0,2555;0,2475;1.302.508;329.958,60;0,2555;0,2575;0,2470;0,2533
16/05/2019;0,2580;0,2555;3.385.546;872.387,97;0,2580;0,2635;0,2520;0,2577
17/05/2019;0,2535;0,2580;764.206;195.522,99;0,2535;0,2610;0,2530;0,2559
20/05/2019;0,2505;0,2535;1.591.879;399.955,20;0,2505;0,2545;0,2490;0,2512
21/05/2019;0,2495;0,2505;1.317.481;328.480,91;0,2495;0,2515;0,2480;0,2493
22/05/2019;0,2520;0,2495;1.504.833;377.314,90;0,2520;0,2530;0,2495;0,2507
23/05/2019;0,2525;0,2520;1.823.376;458.781,35;0,2525;0,2565;0,2485;0,2516
24/05/2019;0,2500;0,2525;2.165.188;541.820,01;0,2500;0,2565;0,2475;0,2502
27/05/2019;0,2475;0,2500;1.170.857;292.154,65;0,2475;0,2540;0,2460;0,2495
28/05/2019;0,2490;0,2475;1.705.767;424.554,27;0,2490;0,2530;0,2450;0,2489
29/05/2019;0,2455;0,2490;1.791.912;440.230,17;0,2455;0,2500;0,2430;0,2457
30/05/2019;0,2480;0,2455;1.347.543;331.460,46;0,2480;0,2500;0,2430;0,2460
31/05/2019;0,2475;0,2480;1.269.723;312.825,77;0,2475;0,2500;0,2445;0,2464
03/06/2019;0,2535;0,2475;1.611.164;398.632,09;0,2535;0,2535;0,2430;0,2474
04/06/2019;0,2580;0,2535;1.307.263;334.376,37;0,2580;0,2590;0,2500;0,2558
05/06/2019;0,2570;0,2580;1.473.338;379.234,93;0,2570;0,2595;0,2535;0,2574
06/06/2019;0,2530;0,2570;1.150.487;293.275,98;0,2530;0,2585;0,2510;0,2549
07/06/2019;0,2570;0,2530;1.645.331;417.249,17;0,2570;0,2570;0,2500;0,2536
10/06/2019;0,2620;0,2570;2.242.612;579.951,35;0,2620;0,2650;0,2525;0,2586
11/06/2019;0,2670;0,2620;2.416.876;637.011,34;0,2670;0,2670;0,2585;0,2636
12/06/2019;0,2645;0,2670;1.875.107;497.142,53;0,2645;0,2680;0,2620;0,2651
13/06/2019;0,2610;0,2645;591.511;155.897,56;0,2610;0,2670;0,2610;0,2636
14/06/2019;0,2605;0,2610;1.132.465;295.499,95;0,2605;0,2640;0,2585;0,2609
17/06/2019;0,2595;0,2605;519.074;134.906,81;0,2595;0,2645;0,2585;0,2599
18/06/2019;0,2590;0,2595;1.063.860;272.709,72;0,2590;0,2595;0,2535;0,2563
19/06/2019;0,2570;0,2590;1.190.685;309.246,50;0,2570;0,2640;0,2570;0,2597
20/06/2019;0,2515;0,2570;1.478.573;374.827,40;0,2515;0,2605;0,2500;0,2535
21/06/2019;0,2490;0,2515;1.698.345;425.969,06;0,2490;0,2545;0,2480;0,2508
