CAIXABANK
Image url: http://www.bolsamadrid.es/imagescomun/logosEmisoras/40609.gif
Image folder: CABK.gif
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
20/08/2019;2,0150;2,0720;11.876.620;24.081.033,08;2,0150;2,0700;2,0100;2,0276
21/08/2019;2,0020;2,0150;7.831.983;15.786.453,40;2,0020;2,0430;2,0020;2,0156
22/08/2019;2,0610;2,0020;12.761.912;26.184.970,93;2,0610;2,0870;2,0000;2,0518
23/08/2019;2,0280;2,0610;11.279.091;23.141.835,50;2,0280;2,0970;2,0280;2,0517
26/08/2019;2,0440;2,0280;6.668.901;13.614.683,94;2,0440;2,0570;2,0140;2,0415
27/08/2019;2,0480;2,0440;12.514.636;25.691.123,99;2,0480;2,0730;2,0360;2,0528
28/08/2019;2,0490;2,0480;12.116.323;24.821.481,02;2,0490;2,0620;2,0350;2,0476
29/08/2019;2,0790;2,0490;9.252.981;19.192.134,22;2,0790;2,0950;2,0430;2,0742
30/08/2019;2,0610;2,0790;9.915.322;20.508.678,14;2,0610;2,0950;2,0480;2,0684
02/09/2019;2,0150;2,0610;7.310.760;14.830.767,98;2,0150;2,0560;2,0150;2,0288
03/09/2019;2,0180;2,0150;17.170.509;34.564.589,64;2,0180;2,0420;1,9900;2,0133
04/09/2019;2,0520;2,0180;11.458.950;23.542.456,27;2,0520;2,0650;2,0430;2,0545
05/09/2019;2,1600;2,0520;23.907.888;51.013.736,45;2,1600;2,1630;2,0670;2,1338
06/09/2019;2,1370;2,1600;16.785.029;36.189.615,92;2,1370;2,1950;2,1250;2,1561
09/09/2019;2,2070;2,1370;20.293.633;44.333.872,44;2,2070;2,2070;2,1460;2,1848
10/09/2019;2,2650;2,2070;45.121.654;99.345.880,61;2,2650;2,2680;2,0880;2,2009
11/09/2019;2,2620;2,2650;28.306.888;64.739.593,37;2,2620;2,3320;2,2500;2,2859
12/09/2019;2,2410;2,2620;30.274.752;67.805.218,09;2,2410;2,3040;2,1750;2,2381
13/09/2019;2,4040;2,2410;33.297.946;78.988.335,43;2,4040;2,4060;2,2450;2,3716
16/09/2019;2,3850;2,4040;27.280.959;64.896.813,77;2,3850;2,4130;2,3380;2,3759
17/09/2019;2,2930;2,3850;26.135.584;60.427.444,49;2,2930;2,3890;2,2880;2,3121
18/09/2019;2,3020;2,2930;21.741.619;50.211.059,11;2,3020;2,3340;2,2790;2,3080
19/09/2019;2,3900;2,3020;22.916.226;54.642.615,85;2,3900;2,4050;2,3030;2,3825
20/09/2019;2,3990;2,3900;35.144.719;84.117.627,09;2,3990;2,4010;2,3620;2,3914
23/09/2019;2,3510;2,3990;15.174.112;35.557.961,29;2,3510;2,3930;2,3170;2,3433
24/09/2019;2,3450;2,3510;13.058.116;30.807.612,03;2,3450;2,3920;2,3440;2,3593
25/09/2019;2,3730;2,3450;16.614.591;38.863.978,42;2,3730;2,3730;2,2860;2,3370
26/09/2019;2,3710;2,3730;15.950.025;37.642.239,49;2,3710;2,3710;2,3250;2,3600
27/09/2019;2,4030;2,3710;13.391.776;32.144.494,04;2,4030;2,4180;2,3540;2,4003
30/09/2019;2,4100;2,4030;16.076.929;38.848.979,34;2,4100;2,4430;2,4010;2,4164
01/10/2019;2,3720;2,4100;17.509.344;42.186.117,89;2,3720;2,4460;2,3720;2,4048
02/10/2019;2,3010;2,3720;16.101.758;37.508.470,22;2,3010;2,3770;2,3010;2,3292
03/10/2019;2,2980;2,3010;14.445.074;33.048.229,84;2,2980;2,3110;2,2560;2,2879
