MAPFRE, S.A.
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
02/04/2019;2,5270;2,4980;4.285.184;10.808.712,57;2,5270;2,5270;2,4970;2,5223
03/04/2019;2,5710;2,5270;4.162.891;10.681.387,00;2,5710;2,5710;2,5400;2,5659
04/04/2019;2,5820;2,5710;5.187.790;13.380.152,87;2,5820;2,5920;2,5620;2,5804
05/04/2019;2,5890;2,5820;5.627.979;14.574.884,50;2,5890;2,6000;2,5810;2,5897
08/04/2019;2,5730;2,5890;3.431.375;8.848.268,52;2,5730;2,5980;2,5690;2,5786
09/04/2019;2,5530;2,5730;3.774.269;9.677.992,58;2,5530;2,5960;2,5530;2,5642
10/04/2019;2,5520;2,5530;4.164.359;10.620.650,39;2,5520;2,5620;2,5410;2,5504
11/04/2019;2,5740;2,5520;4.504.199;11.580.379,44;2,5740;2,5900;2,5460;2,5710
12/04/2019;2,5920;2,5740;4.121.606;10.638.937,64;2,5920;2,5930;2,5510;2,5813
15/04/2019;2,6000;2,5920;5.310.778;13.804.918,03;2,6000;2,6090;2,5870;2,6001
16/04/2019;2,6130;2,6000;3.883.470;10.131.161,23;2,6130;2,6180;2,5940;2,6094
17/04/2019;2,6540;2,6130;6.177.989;16.421.325,44;2,6540;2,6820;2,6150;2,6573
18/04/2019;2,6690;2,6540;2.449.017;6.523.087,93;2,6690;2,6770;2,6370;2,6635
23/04/2019;2,6630;2,6690;3.901.782;10.376.328,13;2,6630;2,6900;2,6310;2,6594
24/04/2019;2,6130;2,6630;4.184.642;10.960.283,25;2,6130;2,6520;2,6130;2,6192
25/04/2019;2,6220;2,6130;4.314.360;11.269.926,29;2,6220;2,6230;2,5930;2,6158
26/04/2019;2,6320;2,6220;2.307.918;6.064.393,49;2,6320;2,6360;2,6100;2,6276
29/04/2019;2,6660;2,6320;4.469.154;11.799.913,81;2,6660;2,6660;2,6120;2,6537
