BANCO DE SABADELL
Image url: http://www.bolsamadrid.es/imagescomun/logosEmisoras/13860.gif
Image folder: SAB.gif
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
02/04/2019;0,9170;0,9246;20.485.099;18.767.758,46;0,9170;0,9262;0,9040;0,9162
03/04/2019;0,9492;0,9070;30.287.170;28.635.716,04;0,9492;0,9540;0,9296;0,9455
04/04/2019;0,9692;0,9492;23.919.288;23.033.514,67;0,9692;0,9698;0,9400;0,9617
05/04/2019;0,9590;0,9692;26.080.280;25.061.752,82;0,9590;0,9748;0,9462;0,9609
08/04/2019;0,9356;0,9590;18.569.545;17.474.482,99;0,9356;0,9598;0,9356;0,9411
09/04/2019;0,9372;0,9356;19.268.996;18.134.893,30;0,9372;0,9522;0,9300;0,9419
10/04/2019;0,9322;0,9372;71.523.685;67.318.904,24;0,9322;0,9580;0,9286;0,9416
11/04/2019;0,9652;0,9322;25.276.824;24.207.050,88;0,9652;0,9748;0,9336;0,9577
12/04/2019;0,9900;0,9652;40.601.626;39.852.174,62;0,9900;0,9998;0,9400;0,9839
15/04/2019;0,9924;0,9900;27.551.382;27.453.670,47;0,9924;1,0195;0,9860;0,9966
16/04/2019;1,0000;0,9924;32.187.284;32.052.634,60;1,0000;1,0075;0,9826;0,9979
17/04/2019;1,0300;1,0000;123.410.965;124.502.855,89;1,0300;1,0440;0,9984;1,0296
18/04/2019;1,0225;1,0300;26.380.930;26.827.171,13;1,0225;1,0385;1,0005;1,0148
23/04/2019;1,0005;1,0225;35.731.826;36.000.697,25;1,0005;1,0250;0,9860;1,0006
24/04/2019;0,9744;1,0005;41.443.403;41.158.922,61;0,9744;1,0175;0,9704;0,9877
25/04/2019;0,9726;0,9744;37.071.834;36.145.558,77;0,9726;0,9844;0,9624;0,9737
26/04/2019;1,0135;0,9726;55.856.286;55.562.684,04;1,0135;1,0135;0,9730;0,9969
29/04/2019;1,0400;1,0135;41.326.488;42.182.328,31;1,0400;1,0405;1,0000;1,0282
30/04/2019;1,0360;1,0400;24.704.844;25.546.261,05;1,0360;1,0440;1,0235;1,0341
02/05/2019;1,0660;1,0360;49.451.120;52.450.168,51;1,0660;1,0780;1,0250;1,0635
03/05/2019;1,0380;1,0660;27.024.520;28.280.061,51;1,0380;1,0700;1,0355;1,0465
06/05/2019;1,0210;1,0380;18.296.483;18.574.312,98;1,0210;1,0230;1,0055;1,0152
07/05/2019;1,0300;1,0210;43.640.759;45.524.553,16;1,0300;1,0645;1,0210;1,0432
08/05/2019;1,0545;1,0300;28.774.327;30.071.117,01;1,0545;1,0600;1,0235;1,0451
09/05/2019;1,0310;1,0545;24.576.230;25.420.732,84;1,0310;1,0510;1,0245;1,0344
10/05/2019;1,0415;1,0310;28.405.044;29.725.048,26;1,0415;1,0570;1,0365;1,0470
13/05/2019;1,0285;1,0415;19.620.650;20.243.962,79;1,0285;1,0445;1,0255;1,0313
14/05/2019;1,0390;1,0285;22.675.091;23.449.361,90;1,0390;1,0440;1,0220;1,0343
15/05/2019;1,0400;1,0390;32.821.340;33.855.094,67;1,0400;1,0430;1,0160;1,0282
16/05/2019;1,0630;1,0400;22.660.482;23.839.267,33;1,0630;1,0630;1,0280;1,0520
17/05/2019;1,0670;1,0630;28.539.354;30.219.273,48;1,0670;1,0680;1,0490;1,0613
20/05/2019;1,0510;1,0670;20.106.337;21.209.382,82;1,0510;1,0750;1,0445;1,0549
21/05/2019;1,0515;1,0510;23.008.067;24.030.801,79;1,0515;1,0630;1,0310;1,0445
22/05/2019;1,0230;1,0515;22.406.836;23.130.758,63;1,0230;1,0585;1,0230;1,0323
23/05/2019;1,0180;1,0230;15.350.132;15.623.179,88;1,0180;1,0270;1,0010;1,0178
24/05/2019;1,0165;1,0180;12.358.512;12.637.645,81;1,0165;1,0330;1,0165;1,0225
27/05/2019;1,0180;1,0165;7.838.028;8.021.157,80;1,0180;1,0400;1,0130;1,0234
28/05/2019;1,0140;1,0180;23.397.500;23.644.116,85;1,0140;1,0240;0,9910;1,0105
29/05/2019;1,0060;1,0140;21.177.777;21.238.338,31;1,0060;1,0150;0,9920;1,0034
30/05/2019;1,0200;1,0060;15.437.440;15.720.363,04;1,0200;1,0260;1,0100;1,0183
31/05/2019;0,9932;1,0200;24.254.222;24.130.182,94;0,9932;1,0100;0,9846;0,9949
03/06/2019;0,9932;0,9932;20.013.033;19.737.013,78;0,9932;0,9960;0,9740;0,9862
04/06/2019;1,0120;0,9932;26.956.833;27.227.505,24;1,0120;1,0195;0,9868;1,0100
05/06/2019;0,9964;1,0120;49.084.275;49.525.239,50;0,9964;1,0275;0,9880;1,0072
06/06/2019;0,9466;0,9964;54.859.707;53.712.118,80;0,9466;1,0190;0,9460;0,9734
07/06/2019;0,9404;0,9466;27.034.207;25.530.941,70;0,9404;0,9568;0,9350;0,9436
10/06/2019;0,9584;0,9404;17.357.140;16.579.512,22;0,9584;0,9620;0,9456;0,9552
11/06/2019;0,9496;0,9584;18.558.451;17.737.210,87;0,9496;0,9680;0,9480;0,9557
