BANCO SANTANDER
Image url: http://www.bolsamadrid.es/imagescomun/logosEmisoras/13900.gif
Image folder: SAN.gif
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
24/06/2019;3,9835;4,0005;87.406.257;349.306.501,82;3,9835;4,0440;3,9770;3,9971
25/06/2019;3,9985;3,9835;85.089.052;337.671.048,08;3,9985;4,0020;3,9420;3,9813
26/06/2019;4,0505;3,9985;53.842.646;217.130.079,89;4,0505;4,0775;3,9970;4,0428
27/06/2019;4,0360;4,0505;33.224.439;134.523.630,71;4,0360;4,0900;4,0215;4,0487
28/06/2019;4,0805;4,0360;42.627.679;173.213.341,73;4,0805;4,0820;4,0260;4,0693
01/07/2019;4,1190;4,0805;35.606.071;146.888.305,98;4,1190;4,1610;4,1050;4,1277
02/07/2019;4,1080;4,1190;27.455.304;112.701.673,19;4,1080;4,1345;4,0640;4,1037
03/07/2019;4,1800;4,1080;32.046.608;133.081.945,92;4,1800;4,1800;4,0695;4,1521
04/07/2019;4,2175;4,1800;46.562.080;195.721.613,82;4,2175;4,2300;4,1600;4,2053
05/07/2019;4,2205;4,2175;35.515.754;150.059.452,94;4,2205;4,2595;4,1810;4,2225
08/07/2019;4,1845;4,2205;31.668.786;132.904.564,31;4,1845;4,2560;4,1575;4,1971
09/07/2019;4,1430;4,1845;95.807.579;398.387.476,70;4,1430;4,1765;4,1105;4,1411
10/07/2019;4,1700;4,1430;39.912.742;166.808.944,63;4,1700;4,2150;4,1250;4,1757
11/07/2019;4,2045;4,1700;48.814.723;205.039.677,52;4,2045;4,2215;4,1710;4,2003
12/07/2019;4,1880;4,2045;43.435.780;182.855.354,54;4,1880;4,2500;4,1865;4,2057
15/07/2019;4,1650;4,1880;35.160.325;146.807.079,03;4,1650;4,2170;4,1605;4,1750
16/07/2019;4,2205;4,1650;28.965.138;121.799.858,72;4,2205;4,2260;4,1565;4,2036
17/07/2019;4,1200;4,2205;29.912.481;123.855.586,04;4,1200;4,2000;4,1100;4,1411
18/07/2019;4,0445;4,1200;54.068.817;218.732.715,71;4,0445;4,0840;4,0050;4,0491
19/07/2019;4,0030;4,0445;58.948.903;236.498.841,27;4,0030;4,0770;3,9860;4,0101
22/07/2019;3,9885;4,0030;45.902.803;183.534.902,28;3,9885;4,0160;3,9655;3,9897
23/07/2019;4,1340;3,9885;49.745.210;205.063.732,97;4,1340;4,1470;4,0500;4,1146
24/07/2019;4,1370;4,1340;46.868.473;193.472.718,60;4,1370;4,1500;4,0930;4,1313
25/07/2019;4,0925;4,1370;53.202.238;220.459.013,04;4,0925;4,2585;4,0605;4,1446
26/07/2019;4,0610;4,0925;30.322.258;123.388.522,26;4,0610;4,0990;4,0580;4,0695
29/07/2019;4,0350;4,0610;26.586.062;107.440.155,19;4,0350;4,0645;4,0270;4,0405
30/07/2019;3,8855;4,0350;60.902.249;240.010.415,02;3,8855;4,0275;3,8800;3,9223
31/07/2019;3,8630;3,8855;64.874.607;252.130.148,62;3,8630;3,9100;3,8600;3,8773
01/08/2019;3,8755;3,8630;34.708.717;134.546.018,25;3,8755;3,9200;3,8440;3,8754
02/08/2019;3,7550;3,8755;65.705.186;248.073.275,47;3,7550;3,8300;3,7375;3,7728
05/08/2019;3,6975;3,7550;47.804.250;177.165.432,06;3,6975;3,7530;3,6760;3,7060
06/08/2019;3,6245;3,6975;48.593.085;178.389.225,23;3,6245;3,7120;3,6245;3,6640
07/08/2019;3,6130;3,6245;45.351.584;164.698.745,64;3,6130;3,6795;3,5730;3,6243
08/08/2019;3,6950;3,6130;41.762.598;153.508.556,86;3,6950;3,7175;3,6170;3,6741
09/08/2019;3,6145;3,6950;81.293.022;295.862.775,00;3,6145;3,6675;3,6100;3,6295
12/08/2019;3,5505;3,6145;34.699.254;124.367.190,94;3,5505;3,6500;3,5465;3,5778
13/08/2019;3,5915;3,5505;47.314.685;168.426.318,40;3,5915;3,6325;3,4835;3,5599
14/08/2019;3,4700;3,5915;87.135.341;306.228.030,60;3,4700;3,5535;3,4620;3,4871
