BANCO BRADESCO PREF.
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
04/04/2019;8,2500;8,2500;485;4.001,25;8,2500;8,2500;8,2500;8,2500
05/04/2019;8,1500;8,2500;37;301,55;8,1500;8,1500;8,1500;8,1500
08/04/2019;8,3000;8,1500;1.513;12.709,20;8,4000;8,4000;8,4000;8,4000
18/04/2019;7,8000;7,6000;50;380,00;7,6000;7,6000;7,6000;7,6000
25/04/2019;8,0500;7,9000;200;1.600,00;8,0000;8,0000;8,0000;8,0000
29/04/2019;8,0500;8,2500;230;1.909,00;8,3000;8,3000;8,3000;8,3000
02/05/2019;8,0000;8,0000;934;7.378,60;7,9000;7,9000;7,9000;7,9000
07/05/2019;7,7000;8,0000;302;2.325,40;7,7000;7,7000;7,7000;7,7000
17/05/2019;7,2500;7,3500;120;864,00;7,2000;7,2000;7,2000;7,2000
20/05/2019;7,3000;7,2500;69;503,70;7,3000;7,3000;7,3000;7,3000
21/06/2019;8,5500;8,0500;1.263;10.609,20;8,4000;8,4000;8,4000;8,4000
04/07/2019;9,0500;8,6500;2;18,15;8,9500;9,2000;8,9500;9,0750
24/07/2019;9,1500;9,0000;1.605;14.605,50;9,1000;9,1000;9,1000;9,1000
