ABENGOA CLASE B
Fecha;Cierre;Referencia;Volumen;Efectivo;Último;Máximo;Mínimo;Medio
30/09/2019;0,0103;0,0102;143.709.861;1.475.352,37;0,0103;0,0104;0,0102;0,0103
01/10/2019;0,0099;0,0103;183.403.660;1.839.652,87;0,0099;0,0104;0,0099;0,0100
02/10/2019;0,0094;0,0099;361.771.094;3.466.418,20;0,0094;0,0099;0,0094;0,0096
03/10/2019;0,0093;0,0094;163.919.376;1.548.800,74;0,0093;0,0097;0,0092;0,0094
04/10/2019;0,0093;0,0093;267.765.300;2.441.165,04;0,0093;0,0094;0,0090;0,0091
07/10/2019;0,0094;0,0093;75.002.645;695.430,03;0,0094;0,0094;0,0091;0,0093
08/10/2019;0,0098;0,0094;170.364.798;1.648.828,57;0,0098;0,0099;0,0093;0,0097
09/10/2019;0,0102;0,0098;257.599.383;2.576.454,88;0,0102;0,0102;0,0098;0,0100
10/10/2019;0,0101;0,0102;221.037.890;2.274.049,44;0,0101;0,0104;0,0101;0,0103
11/10/2019;0,0101;0,0101;94.661.968;957.706,60;0,0101;0,0103;0,0100;0,0101
14/10/2019;0,0100;0,0101;71.453.989;722.066,68;0,0100;0,0102;0,0100;0,0101
15/10/2019;0,0096;0,0100;196.097.129;1.917.711,49;0,0096;0,0101;0,0096;0,0098
16/10/2019;0,0101;0,0096;115.577.232;1.127.751,96;0,0101;0,0101;0,0095;0,0098
17/10/2019;0,0100;0,0101;66.314.833;668.152,52;0,0100;0,0102;0,0099;0,0101
18/10/2019;0,0099;0,0100;121.073.316;1.199.557,81;0,0099;0,0102;0,0097;0,0099
21/10/2019;0,0097;0,0099;87.776.253;863.357,27;0,0097;0,0101;0,0097;0,0098
22/10/2019;0,0099;0,0097;57.710.694;564.072,71;0,0099;0,0099;0,0097;0,0098
23/10/2019;0,0096;0,0099;59.618.053;579.922,02;0,0096;0,0099;0,0096;0,0097
24/10/2019;0,0096;0,0096;65.553.256;633.235,17;0,0096;0,0097;0,0096;0,0096
25/10/2019;0,0098;0,0096;36.126.288;350.434,17;0,0098;0,0098;0,0096;0,0097
28/10/2019;0,0096;0,0098;27.502.377;267.042,81;0,0096;0,0099;0,0096;0,0097
